EE Code,Fund Code,Fund Code Desc
A1Y6,544-24,OEC Infant Daycare
A0W7,412-25,Summer Youth
A1IX,UNA,Unassigned
A18O,638-19,Behavioral Health Services
A0C6,544-19,Oec Infanty Daycare
A1HH,605C-26,Elderly Nutrition Congregate
A1HV,330-24,OEC Workforce Pipeline
A11A,UNA,Unassigned
A1GJ,UNA,Unassigned
A18G,544-22,Oec Infanty Daycare
A1RV,524-18,Dss Ceap Admin
A1TS,619-17,DPH HIV Counseling
A03T,UNA,Unassigned
A195,412SU-21,CWP Summer Youth Start Up
A0XI,UNA,Unassigned
A10K,699,Crt Local Unrestricted
A1R5,661-18,ACF HeadStart PA22
A1FJ,357-26,HHS Affordable Housing
A0BA,UNA,Unassigned
A0MS,659-18,salaries 2017
A0BQ,609-18,Dss Csbg
A16S,605C-22,Congregate
A07B,UNA,Unassigned
A02D,699,Crt Local Unrestricted
A214,363DOU-26,Douglas
A11H,419-20,Coh Sr Full Day
A15P,582ESG-22,Emergency Service Grant
A09W,605-17,Elderly Nutrition
A1SB,638-18,Behavioral Health Services
A0I3,524-18,Dss Ceap Admin
A1VL,UNA,Unassigned
A06U,524-21,Dss Ceap Admin
A1HE,659-17,salaries 2017
A1SC,650-18,Retreat
A09E,534-18,Doh Hopwa Mckinney
A0IF,321-25,Htfd Health Community Responders
A1UR,UNA,Unassigned
A0DZ,546-19,Dss Assurance 16
A158,659-17,salaries 2017
A0LN,605HD-21,Home Delivered
A0KF,546-26,DSS Assurance 16
A0QN,419-20,Coh Sr Full Day
A132,UNA,Unassigned
A0LD,605C-22,Congregate
A094,605C-21,Congregate
A1C0,582ESG-24,Emergency Services Grant
A107,524-18,Dss Ceap Admin
A0ZM,564C-23,ENP Midstate Region Congregate
A0PD,699,Crt Local Unrestricted
A08A,524-23,DSS CEAP Admin
A1IP,611-19,Dss His
A0WN,UNA,Unassigned
A19T,UNA,Unassigned
A0BS,661-18,ACF HeadStart PA22
A11X,UNA,Unassigned
A0Q0,306S-22,DOC State Funded
A0O6,623-23,Youth Build
A1ZW,718-21,Ritter Learning Hub
A13X,661-17,ACF HeadStart PA22
A1PJ,UNA,Unassigned
A1ZO,514-25,CAFCA SSBG
A1GZ,699,Crt Local Unrestricted
A20D,650-24,Retreat
A1II,699,Crt Local Unrestricted
A0A0,424-17,Coh Mckinney
A0TB,UNA,Unassigned
A1SE,UNA,Unassigned
A0K1,514-25,CAFCA SSBG
A1KM,UNA,Unassigned
A1X2,363DOU-26,Douglas
A18X,306S-22,DOC State Funded
A0KW,337CC-24,Project Longevity Care Coordination
A0Z0,605C-26,Elderly Nutrition Congregate
A0FU,605HD-23,Elderly Nutrition Home Delivered
A1AB,UNA,Unassigned
A144,524-22,Dss Ceap Admin
A03B,UNA,Unassigned
A0JQ,UNA,Unassigned
A1MM,659-18,salaries 2017
A1ZI,669-18,CRT Local Unrestricted
A01Q,638-18,Behavioral Health Services
A011,UNA,Unassigned
A05Z,UNA,Unassigned
A0N7,306S-25,DOC State Funded
